lobbyist_name,full_name
jason s. mckitrick,john kasich
william hanka,george nethercutt
michael haywood,jim bunning
michael haywood,dave camp
pete kirkham,tom cole
pete kirkham,jim gerlach
susan hirschmann,van hilleary
stacey smith,bill nelson
stacey smith,connie mack
jonathan mccollum,gordon smith
robert powell,tom cole
joshua grogis,tom cole
jake johnston,jay inslee
elizabeth whitney,bart gordon
emily peterson,thad cochran
jackson droney,barbara boxer
paul marcone,james traficant
michelle easton,w. tauzin
elizabeth murray,steny hoyer
elizabeth murray,mike thompson
elizabeth murray,bob graham
charlotte ivancic,jim demint
charlotte ivancic,william frist
charlotte ivancic,john boehner
pamela smith,tom harkin
pamela smith,carol moseley-braun
israel izzy klein,charles schumer
matthew johnson,john cornyn
gregg hartley,roy blunt
scott tominovich,steny hoyer
terry allen,steve largent
lisa layman,debbie stabenow
lisa layman,richard bryan
brian sutter,dave camp
tom wharton,joseph lieberman
tom wharton,dan boren
mark dedrick,darlene hooley
mark dedrick,tony hall
mark dedrick,rush holt
elizabeth powell,james langevin
elizabeth powell,juanita millender-mcdonald
paige thoman,ann wagner
christopher k. bradish,arlen specter
chris jones,mike ferguson
chris jones,david mcintosh
chris jones,john myers
adam higgins,mike ferguson
tyler thompson,johnny isakson
tyler thompson,saxby chambliss
tyler thompson,zell miller
libby greer,allen boyd
jeff strunk,rob portman
jeff strunk,kay hutchison
jeff strunk,mike dewine
ryan welch,richard shelby
richard roberts,richard shelby
michael solon,mitch mcconnell
michael solon,trent lott
david castagnetti,max baucus
david castagnetti,norman mineta
dean rosen,william frist
david thomas,zoe lofgren
david thomas,albert gore
elise pickering,john shadegg
elise pickering,william dannemeyer
charles wooters,chris van
charles wooters,louise slaughter
sage eastman,dave camp
lauren aronson,rahm emanuel
lauren aronson,carolyn mccarthy
michael robinson,tom delay
michael robinson,ralph regula
michael robinson,bob franks
michael robinson,bud shuster
michael collins,tom udall
constantine hingson,daniel coats
constantine hingson,judd gregg
constantine hingson,elizabeth dole
daniel mcfaul,joe scarborough
john williams,dan burton
andrew coats,mark souder
sarah strup herbert,richard shelby
robert zucker,steven rothman
charla penn,bill pascrell
chelsey hickman,kay granger
chelsey hickman,larry craig
molly mcdonnell,leonard lance
jocelyn hong,john glenn
jessica lawrence-vaca,albio sires
jessica lawrence-vaca,patty murray
jessica lawrence-vaca,steven rothman
tom nagle,tom udall
barry brown,michael burgess
barry brown,kay granger
barry brown,kevin brady
brett heimov,jerrold nadler
steve stallmer,christopher gibson
shay hancock,patty murray
marc numedahl,david loebsack
dan renberg,arlen specter
jerr rosenbaum,john cornyn
jerr rosenbaum,robert hurt
jerr rosenbaum,jack kingston
jerr rosenbaum,virgil goode
christina mcgarry,mario diaz-balart
rhod shaw,sherrod brown
jason schendle,mary landrieu
corry marshall,bob gibbs
corry marshall,melissa hart
david pore,jim turner
michael tomberlin,chip cravaack
michael tomberlin,louie gohmert
tyson redpath,john boehner
mark kadesh,jane harman
christian kierig,dianne feinstein
dave ramey,ken calvert
john green,trent lott
jason van pelt,ed whitfield
anne marie polak,mike ferguson
nathan bult,bill huizenga
stacy ettinger,charles schumer
julie minerva,robert matsui
eric swedlund,stephen horn
michael beer,david hobson
patrick pettey,bob smith
david rudd,ernest hollings
jack quinn,hillary clinton
james bonham,jeff bingaman
james bonham,sam gejdenson
gregg nunziata,marco rubio
arjun mody,kay hutchison
arjun mody,elizabeth dole
matt bravo,steve scalise
matt bravo,eric cantor
rob collins,eric cantor
john scofield,mark hatfield
john scofield,frank lobiondo
todd wooten,debbie stabenow
jasper thomson,dave camp
milan dalal,mark warner
milan dalal,gregory meeks
william moschella,barney frank
william moschella,frank wolf
travis norton,tim scott
david haines,kay hutchison
david haines,kenny marchant
sean murphy,lee zeldin
keith studdard,marsha blackburn
james barker,robert bennett
james barker,james hansen
james barker,howard nielson
john anderson,mike crapo
tom koonce,brad miller
tom koonce,stephen neal
steve stombres,eric cantor
manny rossman,trent lott
kyle nevins,eric cantor
kyle nevins,roy blunt
nicole venable,william jefferson
nicole venable,charles robb
blair larkins,greg walden
lauren maddox,newt gingrich
paul bock,herb kohl
brian mcguire,mitch mcconnell
greta joynes,john shimkus
peter j. evich,john doolittle
geoffrey bowman,walter jones
geoffrey bowman,rick hill
laura morgan kessler,dianne feinstein
lauren cowles,mark pryor
alex vogel,william frist
josh holly,ernie fletcher
jeffery walter,alfonse d'amato
jeffery walter,connie mack
david olander,wally herger
david olander,thomas reynolds
rebecca benn,thad cochran
mark rayder,tom latham
mark rayder,rodney frelinghuysen
mark rayder,dean gallo
christian morgan,ann wagner
kyle gilster,doug bereuter
y. brian lee,doug lamborn
andrew kauders,robert menendez
david adams,john east
kevin mclaughlin,john cornyn
michael quaranta,michael castle
robert bradner,john porter
ansley erdel,nathan deal
jared weaver,anna eshoo
jeffrey sadosky,rob portman
jeffrey sadosky,kay hutchison
jeffrey sadosky,mike dewine
adrienne schweer,chuck hagel
jeffrey strunk,john boehner
michael miller,william frist
edward p. ayoob,harry reid
robert ganim,kelly ayotte
robert ganim,mark kirk
andrew quinn,steny hoyer
stephen borg,timothy johnson
c. stewart verdery,don nickles
c. stewart verdery,john warner
ashley hoy,sue myrick
kate mills,zoe lofgren
kimberly ellis,kevin brady
rich thomas,bill pascrell
matt herrmann,madeleine bordallo
erin neal,bill nelson
edward eynon,john shadegg
patrick anderson,henry bonilla
darren willcox,david dennis
darren willcox,j. hastert
darren willcox,porter goss
andrew buczek,james barcia
mary beth mcgowan,arlen specter
james brandell,dave camp
tim molino,amy klobuchar
jen olson,lindsey graham
jen olson,jim kolbe
john michael gonzalez,chris bell
john michael gonzalez,melissa bean
jeff shapiro,adrian smith
jeff shapiro,lee terry
matt leffingwell,kay granger
matt leffingwell,john porter
matt leffingwell,mark kirk
david stewart,jeff sessions
martin gold,william frist
deborah burrell,roscoe bartlett
douglas denneny,john mccain
tommy johnson,rick santorum
"morris l. thomas, jd",howard mckeon
devin mogler,joni ernst
mike hogan,ben nelson
mike haywood,jim bunning
mike haywood,dave camp
greg means,dennis eckart
joel oswald,michael enzi
zachary pfister,larry kissell
zachary pfister,brad ellsworth
zachary pfister,evan bayh
brian mckeon,barbara boxer
brian wild,john boehner
brian wild,pat toomey
brian wild,hank brown
araceli gutierrez,lucille roybal-allard
william dolbow,eric cantor
william dolbow,tom bliley
kelly delmore,phil english
nicholas leibham,neil abercrombie
james davenport,gerald solomon
christine pollack,e. shaw
christine pollack,jim nussle
rick murphy,kelly ayotte
natasha hammond,paul ryan
natasha hammond,john boehner
david schnittger,john boehner
joseph murray,ron johnson
joseph murray,mark meadows
john raidt,john mccain
jess goode,ted strickland
lem smith,charles norwood
lem smith,roger wicker
lem smith,trent lott
leslee k. gilbert,zachary space
leslee k. gilbert,ralph hall
sean morrison,max baucus
todd bertoson,ted stevens
steven irizarry,chuck hagel
heather podesta,robert matsui
heather podesta,earl pomeroy
heather podesta,bill bradley
jonathan becker,amy klobuchar
sean joyce,bill shuster
sean joyce,patrick mchenry
benjamin klein,byron dorgan
larissa martinez,deb fischer
larissa martinez,chuck hagel
larissa martinez,nathan deal
larissa martinez,johnny isakson
annie palisi,diane black
annie palisi,john boehner
anne macmillan,dennis cardoza
anne macmillan,nancy pelosi
noah kowalski,kirsten gillibrand
christopher shank,zachary space
christopher shank,lamar smith
christopher shank (covoffpos continued),zachary space
gary gallant,jim saxton
crystal ellerbe,david vitter
christina hamilton,david obey
tom ingram,lamar alexander
brandi lowell,heath shuler
brandi lowell,lincoln davis
brandi lowell,bob clement
heather mchugh,charles schumer
beau schuyler,john tanner
beau schuyler,mike mcintyre
henry menn,bob graham
david ransom,steny hoyer
erica stocker,jim saxton
john lundy,trent lott
john lundy,larry combest
john lundy,mike espy
susan butler,charles pickering
susan butler,trent lott
ty mabry,thad cochran
ty mabry,gregg harper
hunter bates,mitch mcconnell
chase hieneman,mitch mcconnell
roger murry,ellen tauscher
ed pagano,tom harkin
arshi siddiqui,nancy pelosi
arshi siddiqui,xavier becerra
alexandra sollberger,geoff davis
matthew weinstein,jo bonner
todd harmer,saxby chambliss
aaron s. cutler,eric cantor
scott barnhart,connie mack
kathleen m. mcauliffe,richard gephardt
noushin jahanian,debbie stabenow
katherine dapper,patty murray
jason gleason,john sarbanes
jason gleason,paul sarbanes
ryan little,jason chaffetz
jennifer bell,john thune
lauren lipin,c. ruppersberger
william rice,henry bonilla
craig metz,floyd spence
amelia jenkins,george miller
russell thomasson,john cornyn
russell thomasson,bob smith
salim alameddin,will hurd
salim alameddin,john cornyn
george m. bernier,rick santorum
jennifer cave,john warner
dan gans,j. mcmillan
dan gans,bob riley
dan gans,william martini
bryan cunningham,judd gregg
bryan cunningham,john ensign
gary hoitsma,james inhofe
donn salvosa,cliff stearns
helen rebecca brocato,benjamin cardin
sean richardson,amy klobuchar
sean richardson,patrick kennedy
sean richardson,richard gephardt
lucia alonzo,claire mccaskill
stephanie kennan,ron wyden
dan scandling,frank wolf
dan scandling,herbert bateman
breely ungar,debbie stabenow
jonathan winer,john kerry
jeffrey davis,shelley berkley
chris l. gaston,rush holt
jeffrey forbes,max baucus
steven palmer,wayne allard
timothy mcgivern,sam brownback
dean aguillen,nancy pelosi
chris giblin,charles norwood
sarah beth jansen,tom coburn
patricia readinger,debbie stabenow
michael ryan,steve israel
julie hershey carr,joseph pitts
rose sullivan,amy klobuchar
randi reid,michael enzi
randi reid,michael burgess
david peluso,cathy mcmorris
david peluso,gus bilirakis
karen green,robert matsui
ryan thompson,james inhofe
marissa serafino,jeanne shaheen
rashid hallaway,evan bayh
robert hobart,zach wamp
robert hobart,rick hill
william jacoby lemos,nita lowey
william jacoby lemos,hansen clarke
william jacoby lemos,steny hoyer
erik fatemi,daniel inouye
joel riethmiller,baron hill
joel riethmiller,john carney
brian mclaughlin,richard durbin
camille bonta,john glenn
daniel gans,j. mcmillan
daniel gans,bob riley
daniel gans,william martini
chris miller,david reichert
tracy spicer,edward kennedy
kyle ruckert,david vitter
michael hutton,robert menendez
paul brathwaite,diane black
scott parven,nicholas mavroules
josh teitelbaum,kay hagan
josh teitelbaum,steve israel
john (kevin) brennan,rosa delauro
john (kevin) brennan,sherrod brown
alec hinojosa,michael enzi
luke johnson,robert bennett
luke johnson,james hansen
jon hrobsky,bob schaffer
jon hrobsky,scott mcinnis
genevieve bresnahan,pete sessions
kameron simmons,orrin hatch
kameron simmons,rob bishop
amy davenport,george voinovich
samantha martin,trey gowdy
keri richmond,rob portman
gregory louer,charles norwood
gregg hartley,fernand st
clifford roberti,randy neugebauer
chris matthiesen,suzanne kosmas
chris matthiesen,nick lampson
stefan bailey,baron hill
stefan bailey,nick rahall
elizabeth hart thompson,baron hill
elizabeth hart thompson,melissa bean
elizabeth hart thompson,john carney
rich meade,jim nussle
bob okun,newt gingrich
bob okun,robert michel
edward ayoob,harry reid
david crane,trent lott
david crane,john mccain
dennis potter,phil gramm
scott nelson,byron dorgan
kerry feehery,mel martinez
kerry feehery,george lemieux
karl koch,jim davis
jonathan gregory,norman sisisky
jonathon jones,thomas carper
bryant hall,bob graham
chase kroll,michele bachmann
s. tyler jameson,heidi heitkamp
charles brereton,john boehner
charles brereton,richard burr
meg gilley,jack kingston
michael merola,robert torricelli
charla penn mcmanus,bill pascrell
shane doucet,christopher john
joseph gibson,lamar smith
amanda wood,bob graham
charlie harman,saxby chambliss
mike mckay,gregory meeks
lavita strickland legrys,dianne feinstein
ann jablon,richard neal
towner french,pete sessions
towner french,lincoln diaz-balart
towner french,judy biggert
luke hatzis,peter roskam
luke hatzis,david dennis
aaron cohen,john ensign
aaron cohen,richard bryan
drew goesl,mike ross
drew goesl,blanche lincoln
ivan zapien,robert menendez
sam geduldig,roy blunt
mike nielsen,robert bennett
jay cranford,bob barr
jay cranford,jim gibbons
jay cranford,john boehner
doug schwartz,john thune
john stipicevic,roy blunt
john stipicevic,eric cantor
john stipicevic,kevin mccarthy
juliane sullivan,todd akin
juliane sullivan,tom delay
juliane sullivan,anne northup
juliane sullivan,ed whitfield
mike freeman,mike lee
katie mitchell,paul cook
katie mitchell,devin nunes
lauren o'brien,geoff davis
louis agnello,martin heinrich
louis agnello,doris matsui
rohit kumar,mitch mcconnell
rohit kumar,william frist
rohit kumar,trent lott
ronald eritano,lloyd doggett
bob brooks,jim mccrery
bob brooks,jay dickey
sam adcock,trent lott
rodney whitlock,chuck grassley
eli greenspan,martin heinrich
mac campbell,blanche lincoln
nathaniel bell,robert andrews
david leiter,wendell ford
david leiter,john kerry
daniel wolf,jared huffman
cindy brown,ron kind
david urban,arlen specter
sean mcglynn,barbara mikulski
greg louer,charles norwood
sara linder,steve driehaus
virginia h. johnson,dan benishek
virginia h. johnson,hamilton fish
stephen northrup,michael enzi
stacey rampy,anna eshoo
stacey rampy,robert torricelli
lindsay austin,lynn westmoreland
tom tilton,betty sutton
helen tolar,john boozman
christopher baxter,robert menendez
michael woody,marion berry
andrew hawkins,mike rogers
kelly childress,john shimkus
robert bissen,robert kasten
jamie jones,matthew martinez
susan ramthun,william frist
judithh gorsuch,jon kyl
patrick cavanagh,tim holden
alexander sternhell,craig james
mike ahern,edward royce
mike ahern,bob corker
kristin m. smith,denny rehberg
kristin m. smith,olympia snowe
kristin m. smith,conrad burns
frank mccarthy,sue kelly
jeffrey walter,alfonse d'amato
jeffrey walter,connie mack
ethan pittleman,kurt schrader
thomas culligan,frank wolf
thomas culligan,thomas petri
john czerwinski,frank wolf
ludmilla savelieff,mike dewine
jennifer ortega,todd rokita
kathryn branson,lou barletta
david stratton edwards,john sullivan
david stratton edwards,tom cole
william steve southerland,steve southerland
jeff mortier,ed whitfield
jeff mortier,devin nunes
sarah walter,john breaux
kristen walsh,charles schumer
kristen walsh,hillary clinton
kristen walsh,kirsten gillibrand
don smith,tom bevill
callie hickox,john breaux
jamie tucker,anne northup
sam olswanger,daniel webster
b. keith heard,thad cochran
jay heimbach,sherrod brown
matt leffingwell,jon porter
scott leezer,richard durbin
paul a. howard,susan collins
elizabeth lee,tammy baldwin
brian diffell,roy blunt
charles cooper,adam putnam
charles cooper,mario diaz-balart
charles cooper,felix grucci
charles cooper,jon kyl
charles cooper,connie mack
nadeam elshami,nancy pelosi
nadeam elshami,richard durbin
nadeam elshami,janice schakowsky
brian dean,craig james
jason tai,william lipinski
langston emerson,michael capuano
langston emerson,carolyn kilpatrick
roger gwinn,vic fazio
stephanie missert,kirsten gillibrand
andrew lewin,dennis moore
andrew lewin,max sandlin
brent del monte,tom bliley
robb walton,michael enzi
christopher matthiesen,suzanne kosmas
christopher matthiesen,nick lampson
erskine wells,roger wicker
erskine wells,steven palazzo
julia d'hemecourt,steve scalise
julia d'hemecourt,vance mcallister
allison trexler,ed whitfield
jennifer castagna,arlen specter
norma jane sabiston,mary landrieu
norma jane sabiston,john breaux
zach monroe,mary landrieu
sheryl cohen,christopher dodd
matt mcalvanah,patty murray
robert lehman,rob portman
robert lehman,larry combest
timothy martin,scott tipton
theodore bornstein,les aspin
edward krenik,dean gallo
carolyn gluck,harry reid
aryana khalid,mark warner
brian gaston,richard armey
brian gaston,john boehner
brian gaston,roy blunt
steven boms,gary ackerman
doyle bartlett,bill mccollum
chris mccannell,paul kanjorski
chris mccannell,steny hoyer
chris mccannell,michael mcmahon
chris mccannell,joseph crowley
travis johnson,david vitter
travis johnson,john shadegg
travis johnson,tom price
greg mesack,wally herger
bradford cheney,brad sherman
bradford cheney,hillary clinton
a. bradford card,john sweeney
shawna francis watley,j. kerrey
joel johnson,howard metzenbaum
andrew king,lindsey graham
christina brown,bob casey
christina brown,arlen specter
edward cox,orrin hatch
neal martin,max cleland
r. neal martin,max cleland
allison nyholm,lisa murkowski
will hollier,mike crapo
keith nelson,pete domenici
daniel mcfaul,jeff miller
daniel mcfaul,matt gaetz
sarah egge,j. kerrey
joe onek,nancy pelosi
irene bueno,edward roybal
irene bueno,alan cranston
gregory d. burns,darlene hooley
robert van heuvelen,kent conrad
stephen ward,jeff bingaman
dan elling,nancy johnson
dan elling,jim ramstad
joshua andrews,anna eshoo
joshua andrews,barbara boxer
jackson spivey,mark begich
jennifer latourette,steven latourette
jennifer latourette,robert borski
jennifer latourette,max baucus
matt henken,ed perlmutter
matt henken,mark udall
clint robinson,john linder
hunter moorhead,thad cochran
matt wise,mary fallin
matt wise,conrad burns
bravo matt,steve scalise
bravo matt,eric cantor
lindsey craig,dave weldon
lindsey craig,mike pence
michael torrey,nancy kassebaum
michael torrey,sheila frahm
barbara patterson,bill nelson
seam mcglynn,barbara mikulski
d. patrick robertson,john rockefeller
ludmilla kasulke (nee savelieff),mike dewine
eric rosen,anthony weiner
katie wise,vern buchanan
katie wise,mary fallin
patrice willoughby,barbara lee
don kent,ron johnson
don kent,thomas ridge
don kent,don nickles
jeff choudhry,trent franks
robert taylor,john thune
robert taylor,don nickles
scott graves,k. conaway
scott graves,blake farenthold
mike ference,eric cantor
eric anthony,rosa delauro
barry bennett,jean schmidt
jesse appleton,jim talent
jeff markey,doc hastings
jeff markey,jack metcalf
melissa gierach,charles boustany
melissa gierach,dennis ross
melissa gierach,john sullivan
melissa gierach,cliff stearns
melissa gierach,dana rohrabacher
todd metcalf,ron wyden
todd metcalf,william jefferson
sara franko,ted strickland
elizabeth greer,allen boyd
richard murphy,kelly ayotte
wesley ryan welch,richard shelby
dora hughes,edward kennedy
dora hughes,barack obama
jason rosenstock,tom lantos
jason rosenstock,robert weygand
andy keiser,mike rogers
ado machida,dick cheney
jeffery mortier,ed whitfield
jeffery mortier,devin nunes
jeff mackinnon,joe barton
matthew schlapp,todd tiahrt
andrew barbour,bart stupak
jack s. deuser,jim bunning
trevor kolego,chris cannon
trevor kolego,jon porter
trevor kolego,john boehner
summer mersinger,john thune
eric love,melvin watt
cliff roberti,randy neugebauer
allison f. kassir,paul mchale
lisa mortier,sue myrick
john herzog,lamar alexander
ryan mulvenon,harry reid
ray cole,richard shelby
joshua raymond,christopher murphy
jeffrey stoltzfoos,rick santorum
jeffrey stoltzfoos,jeb hensarling
james sartucci,trent lott
andrew mckechnie,norm coleman
andrew mckechnie,jim ramstad
lori denham,calvin dooley
lori denham,darlene hooley
jason mckitrick,john kasich
jenny rosenberg,russell feingold
malloy mcdaniel,mitch mcconnell
