lobbyist_name,full_name,OTHER_POL_CMTE_CONTRIB
jason s. mckitrick,john kasich,
william hanka,george nethercutt,
michael haywood,jim bunning,
michael haywood,dave camp,
pete kirkham,tom cole,1090096.0
pete kirkham,jim gerlach,0.0
susan hirschmann,van hilleary,
stacey smith,bill nelson,2505695.19
stacey smith,connie mack,
jonathan mccollum,gordon smith,
robert powell,tom cole,1090096.0
joshua grogis,tom cole,1090096.0
jake johnston,jay inslee,1200.0
elizabeth whitney,bart gordon,0.0
emily peterson,thad cochran,50475.0
jackson droney,barbara boxer,
paul marcone,james traficant,
michelle easton,w. tauzin,
elizabeth murray,steny hoyer,3016867.74
elizabeth murray,mike thompson,1442119.36
elizabeth murray,bob graham,
charlotte ivancic,jim demint,
charlotte ivancic,william frist,
charlotte ivancic,john boehner,
pamela smith,tom harkin,
pamela smith,carol moseley-braun,
israel izzy klein,charles schumer,152500.0
matthew johnson,john cornyn,1258660.42
gregg hartley,roy blunt,535525.0
scott tominovich,steny hoyer,3016867.74
terry allen,steve largent,
lisa layman,debbie stabenow,2902908.28
lisa layman,richard bryan,
brian sutter,dave camp,
tom wharton,joseph lieberman,
tom wharton,dan boren,
mark dedrick,darlene hooley,0.0
mark dedrick,tony hall,
mark dedrick,rush holt,
elizabeth powell,james langevin,608961.6
elizabeth powell,juanita millender-mcdonald,
paige thoman,ann wagner,1649300.0
christopher k. bradish,arlen specter,
chris jones,mike ferguson,
chris jones,david mcintosh,
chris jones,john myers,
adam higgins,mike ferguson,
tyler thompson,johnny isakson,
tyler thompson,saxby chambliss,
tyler thompson,zell miller,
libby greer,allen boyd,
jeff strunk,rob portman,806915.0
jeff strunk,kay hutchison,
jeff strunk,mike dewine,
ryan welch,richard shelby,0.0
richard roberts,richard shelby,0.0
michael solon,mitch mcconnell,1401469.1099999999
michael solon,trent lott,
david castagnetti,max baucus,0.0
david castagnetti,norman mineta,
dean rosen,william frist,
david thomas,zoe lofgren,560550.0
david thomas,albert gore,
elise pickering,john shadegg,
elise pickering,william dannemeyer,
charles wooters,chris van,
charles wooters,louise slaughter,332675.0
sage eastman,dave camp,
lauren aronson,rahm emanuel,
lauren aronson,carolyn mccarthy,
michael robinson,tom delay,
michael robinson,ralph regula,
michael robinson,bob franks,
michael robinson,bud shuster,
michael collins,tom udall,104700.0
constantine hingson,daniel coats,
constantine hingson,judd gregg,
constantine hingson,elizabeth dole,0.0
daniel mcfaul,joe scarborough,
john williams,dan burton,
andrew coats,mark souder,
sarah strup herbert,richard shelby,0.0
robert zucker,steven rothman,
charla penn,bill pascrell,
chelsey hickman,kay granger,983553.04
chelsey hickman,larry craig,
molly mcdonnell,leonard lance,1187190.75
jocelyn hong,john glenn,
jessica lawrence-vaca,albio sires,319786.67
jessica lawrence-vaca,patty murray,373700.0
jessica lawrence-vaca,steven rothman,
tom nagle,tom udall,104700.0
barry brown,michael burgess,1179357.64
barry brown,kay granger,983553.04
barry brown,kevin brady,3329827.24
brett heimov,jerrold nadler,705859.5
steve stallmer,christopher gibson,0.0
shay hancock,patty murray,373700.0
marc numedahl,david loebsack,1198643.24
dan renberg,arlen specter,
jerr rosenbaum,john cornyn,1258660.42
jerr rosenbaum,robert hurt,0.0
jerr rosenbaum,jack kingston,
jerr rosenbaum,virgil goode,
christina mcgarry,mario diaz-balart,1505912.97
rhod shaw,sherrod brown,2580379.5
jason schendle,mary landrieu,
corry marshall,bob gibbs,
corry marshall,melissa hart,
david pore,jim turner,0.0
michael tomberlin,chip cravaack,
michael tomberlin,louie gohmert,
tyson redpath,john boehner,
mark kadesh,jane harman,
christian kierig,dianne feinstein,1494112.0
dave ramey,ken calvert,92000.0
john green,trent lott,
jason van pelt,ed whitfield,
anne marie polak,mike ferguson,
nathan bult,bill huizenga,
stacy ettinger,charles schumer,152500.0
julie minerva,robert matsui,
eric swedlund,stephen horn,
michael beer,david hobson,
patrick pettey,bob smith,
david rudd,ernest hollings,
jack quinn,hillary clinton,0.0
james bonham,jeff bingaman,
james bonham,sam gejdenson,
gregg nunziata,marco rubio,411150.0
arjun mody,kay hutchison,
arjun mody,elizabeth dole,0.0
matt bravo,steve scalise,140530.0
matt bravo,eric cantor,
rob collins,eric cantor,
john scofield,mark hatfield,
john scofield,frank lobiondo,292150.0
todd wooten,debbie stabenow,2902908.28
jasper thomson,dave camp,
milan dalal,mark warner,1047250.0
milan dalal,gregory meeks,906600.0
william moschella,barney frank,
william moschella,frank wolf,
travis norton,tim scott,
david haines,kay hutchison,
david haines,kenny marchant,994734.29
sean murphy,lee zeldin,1362539.04
keith studdard,marsha blackburn,5219802.34
james barker,robert bennett,
james barker,james hansen,
james barker,howard nielson,
john anderson,mike crapo,
tom koonce,brad miller,
tom koonce,stephen neal,
steve stombres,eric cantor,
manny rossman,trent lott,
kyle nevins,eric cantor,
kyle nevins,roy blunt,535525.0
nicole venable,william jefferson,
nicole venable,charles robb,
blair larkins,greg walden,
lauren maddox,newt gingrich,0.0
paul bock,herb kohl,
brian mcguire,mitch mcconnell,1401469.1099999999
greta joynes,john shimkus,1895393.95
peter j. evich,john doolittle,
geoffrey bowman,walter jones,224120.0
geoffrey bowman,rick hill,
laura morgan kessler,dianne feinstein,1494112.0
lauren cowles,mark pryor,
alex vogel,william frist,
josh holly,ernie fletcher,
jeffery walter,alfonse d'amato,
jeffery walter,connie mack,
david olander,wally herger,
david olander,thomas reynolds,0.0
rebecca benn,thad cochran,50475.0
mark rayder,tom latham,
mark rayder,rodney frelinghuysen,854226.68
mark rayder,dean gallo,
christian morgan,ann wagner,1649300.0
kyle gilster,doug bereuter,
y. brian lee,doug lamborn,
andrew kauders,robert menendez,1534118.62
david adams,john east,
kevin mclaughlin,john cornyn,1258660.42
michael quaranta,michael castle,
robert bradner,john porter,
ansley erdel,nathan deal,
jared weaver,anna eshoo,661690.0
jeffrey sadosky,rob portman,806915.0
jeffrey sadosky,kay hutchison,
jeffrey sadosky,mike dewine,
adrienne schweer,chuck hagel,
jeffrey strunk,john boehner,
michael miller,william frist,
edward p. ayoob,harry reid,0.0
robert ganim,kelly ayotte,0.0
robert ganim,mark kirk,
andrew quinn,steny hoyer,3016867.74
stephen borg,timothy johnson,
c. stewart verdery,don nickles,
c. stewart verdery,john warner,
ashley hoy,sue myrick,
kate mills,zoe lofgren,560550.0
kimberly ellis,kevin brady,3329827.24
rich thomas,bill pascrell,
matt herrmann,madeleine bordallo,39975.0
erin neal,bill nelson,2505695.19
edward eynon,john shadegg,
patrick anderson,henry bonilla,
darren willcox,david dennis,
darren willcox,j. hastert,
darren willcox,porter goss,
andrew buczek,james barcia,
mary beth mcgowan,arlen specter,
james brandell,dave camp,
tim molino,amy klobuchar,1494110.13
jen olson,lindsey graham,867500.0
jen olson,jim kolbe,
john michael gonzalez,chris bell,
john michael gonzalez,melissa bean,
jeff shapiro,adrian smith,1068750.0
jeff shapiro,lee terry,0.0
matt leffingwell,kay granger,983553.04
matt leffingwell,john porter,
matt leffingwell,mark kirk,
david stewart,jeff sessions,
martin gold,william frist,
deborah burrell,roscoe bartlett,
douglas denneny,john mccain,
tommy johnson,rick santorum,
"morris l. thomas, jd",howard mckeon,0.0
devin mogler,joni ernst,924963.53
mike hogan,ben nelson,
mike haywood,jim bunning,
mike haywood,dave camp,
greg means,dennis eckart,
joel oswald,michael enzi,291600.0
zachary pfister,larry kissell,
zachary pfister,brad ellsworth,
zachary pfister,evan bayh,0.0
brian mckeon,barbara boxer,
brian wild,john boehner,
brian wild,pat toomey,
brian wild,hank brown,
araceli gutierrez,lucille roybal-allard,377800.0
william dolbow,eric cantor,
william dolbow,tom bliley,
kelly delmore,phil english,
nicholas leibham,neil abercrombie,
james davenport,gerald solomon,
christine pollack,e. shaw,
christine pollack,jim nussle,
rick murphy,kelly ayotte,0.0
natasha hammond,paul ryan,368700.0
natasha hammond,john boehner,
david schnittger,john boehner,
joseph murray,ron johnson,
joseph murray,mark meadows,551713.75
john raidt,john mccain,
jess goode,ted strickland,0.0
lem smith,charles norwood,
lem smith,roger wicker,2140962.09
lem smith,trent lott,
leslee k. gilbert,zachary space,
leslee k. gilbert,ralph hall,
sean morrison,max baucus,0.0
todd bertoson,ted stevens,
steven irizarry,chuck hagel,
heather podesta,robert matsui,
heather podesta,earl pomeroy,
heather podesta,bill bradley,
jonathan becker,amy klobuchar,1494110.13
sean joyce,bill shuster,
sean joyce,patrick mchenry,2125300.0
benjamin klein,byron dorgan,0.0
larissa martinez,deb fischer,
larissa martinez,chuck hagel,
larissa martinez,nathan deal,
larissa martinez,johnny isakson,
annie palisi,diane black,230750.0
annie palisi,john boehner,
anne macmillan,dennis cardoza,
anne macmillan,nancy pelosi,1421399.3399999999
noah kowalski,kirsten gillibrand,846868.22
christopher shank,zachary space,
christopher shank,lamar smith,268040.0
christopher shank (covoffpos continued),zachary space,
gary gallant,jim saxton,
crystal ellerbe,david vitter,0.0
christina hamilton,david obey,
tom ingram,lamar alexander,266700.0
brandi lowell,heath shuler,
brandi lowell,lincoln davis,
brandi lowell,bob clement,
heather mchugh,charles schumer,152500.0
beau schuyler,john tanner,0.0
beau schuyler,mike mcintyre,0.0
henry menn,bob graham,
david ransom,steny hoyer,3016867.74
erica stocker,jim saxton,
john lundy,trent lott,
john lundy,larry combest,
john lundy,mike espy,
susan butler,charles pickering,
susan butler,trent lott,
ty mabry,thad cochran,50475.0
ty mabry,gregg harper,259000.0
hunter bates,mitch mcconnell,1401469.1099999999
chase hieneman,mitch mcconnell,1401469.1099999999
roger murry,ellen tauscher,
ed pagano,tom harkin,
arshi siddiqui,nancy pelosi,1421399.3399999999
arshi siddiqui,xavier becerra,0.0
alexandra sollberger,geoff davis,
matthew weinstein,jo bonner,
todd harmer,saxby chambliss,
aaron s. cutler,eric cantor,
scott barnhart,connie mack,
kathleen m. mcauliffe,richard gephardt,
noushin jahanian,debbie stabenow,2902908.28
katherine dapper,patty murray,373700.0
jason gleason,john sarbanes,0.0
jason gleason,paul sarbanes,
ryan little,jason chaffetz,
jennifer bell,john thune,758487.0
lauren lipin,c. ruppersberger,
william rice,henry bonilla,
craig metz,floyd spence,
amelia jenkins,george miller,
russell thomasson,john cornyn,1258660.42
russell thomasson,bob smith,
salim alameddin,will hurd,
salim alameddin,john cornyn,1258660.42
george m. bernier,rick santorum,
jennifer cave,john warner,
dan gans,j. mcmillan,
dan gans,bob riley,
dan gans,william martini,
bryan cunningham,judd gregg,
bryan cunningham,john ensign,
gary hoitsma,james inhofe,711629.0
donn salvosa,cliff stearns,
helen rebecca brocato,benjamin cardin,1593761.56
sean richardson,amy klobuchar,1494110.13
sean richardson,patrick kennedy,
sean richardson,richard gephardt,
lucia alonzo,claire mccaskill,2401313.57
stephanie kennan,ron wyden,
dan scandling,frank wolf,
dan scandling,herbert bateman,
breely ungar,debbie stabenow,2902908.28
jonathan winer,john kerry,
jeffrey davis,shelley berkley,
chris l. gaston,rush holt,
jeffrey forbes,max baucus,0.0
steven palmer,wayne allard,
timothy mcgivern,sam brownback,
dean aguillen,nancy pelosi,1421399.3399999999
chris giblin,charles norwood,
sarah beth jansen,tom coburn,
patricia readinger,debbie stabenow,2902908.28
michael ryan,steve israel,
julie hershey carr,joseph pitts,0.0
rose sullivan,amy klobuchar,1494110.13
randi reid,michael enzi,291600.0
randi reid,michael burgess,1179357.64
david peluso,cathy mcmorris,
david peluso,gus bilirakis,1015367.23
karen green,robert matsui,
ryan thompson,james inhofe,711629.0
marissa serafino,jeanne shaheen,708432.61
rashid hallaway,evan bayh,0.0
robert hobart,zach wamp,
robert hobart,rick hill,
william jacoby lemos,nita lowey,639427.58
william jacoby lemos,hansen clarke,0.0
william jacoby lemos,steny hoyer,3016867.74
erik fatemi,daniel inouye,
joel riethmiller,baron hill,0.0
joel riethmiller,john carney,0.0
brian mclaughlin,richard durbin,389900.0
camille bonta,john glenn,
daniel gans,j. mcmillan,
daniel gans,bob riley,
daniel gans,william martini,
chris miller,david reichert,
tracy spicer,edward kennedy,
kyle ruckert,david vitter,0.0
michael hutton,robert menendez,1534118.62
paul brathwaite,diane black,230750.0
scott parven,nicholas mavroules,
josh teitelbaum,kay hagan,
josh teitelbaum,steve israel,
john (kevin) brennan,rosa delauro,670820.0
john (kevin) brennan,sherrod brown,2580379.5
alec hinojosa,michael enzi,291600.0
luke johnson,robert bennett,
luke johnson,james hansen,
jon hrobsky,bob schaffer,
jon hrobsky,scott mcinnis,
genevieve bresnahan,pete sessions,2216874.86
kameron simmons,orrin hatch,1991166.0
kameron simmons,rob bishop,
amy davenport,george voinovich,
samantha martin,trey gowdy,155690.43
keri richmond,rob portman,806915.0
gregory louer,charles norwood,
gregg hartley,fernand st,
clifford roberti,randy neugebauer,0.0
chris matthiesen,suzanne kosmas,
chris matthiesen,nick lampson,
stefan bailey,baron hill,0.0
stefan bailey,nick rahall,
elizabeth hart thompson,baron hill,0.0
elizabeth hart thompson,melissa bean,
elizabeth hart thompson,john carney,0.0
rich meade,jim nussle,
bob okun,newt gingrich,0.0
bob okun,robert michel,
edward ayoob,harry reid,0.0
david crane,trent lott,
david crane,john mccain,
dennis potter,phil gramm,
scott nelson,byron dorgan,0.0
kerry feehery,mel martinez,
kerry feehery,george lemieux,
karl koch,jim davis,
jonathan gregory,norman sisisky,
jonathon jones,thomas carper,1922183.64
bryant hall,bob graham,
chase kroll,michele bachmann,0.0
s. tyler jameson,heidi heitkamp,2920093.62
charles brereton,john boehner,
charles brereton,richard burr,65500.0
meg gilley,jack kingston,
michael merola,robert torricelli,0.0
charla penn mcmanus,bill pascrell,
shane doucet,christopher john,
joseph gibson,lamar smith,268040.0
amanda wood,bob graham,
charlie harman,saxby chambliss,
mike mckay,gregory meeks,906600.0
lavita strickland legrys,dianne feinstein,1494112.0
ann jablon,richard neal,2985503.01
towner french,pete sessions,2216874.86
towner french,lincoln diaz-balart,
towner french,judy biggert,
luke hatzis,peter roskam,3124389.63
luke hatzis,david dennis,
aaron cohen,john ensign,
aaron cohen,richard bryan,
drew goesl,mike ross,
drew goesl,blanche lincoln,
ivan zapien,robert menendez,1534118.62
sam geduldig,roy blunt,535525.0
mike nielsen,robert bennett,
jay cranford,bob barr,
jay cranford,jim gibbons,
jay cranford,john boehner,
doug schwartz,john thune,758487.0
john stipicevic,roy blunt,535525.0
john stipicevic,eric cantor,
john stipicevic,kevin mccarthy,3519408.5
juliane sullivan,todd akin,
juliane sullivan,tom delay,
juliane sullivan,anne northup,
juliane sullivan,ed whitfield,
mike freeman,mike lee,146750.0
katie mitchell,paul cook,718349.0
katie mitchell,devin nunes,1547946.06
lauren o'brien,geoff davis,
louis agnello,martin heinrich,3825179.12
louis agnello,doris matsui,875591.26
rohit kumar,mitch mcconnell,1401469.1099999999
rohit kumar,william frist,
rohit kumar,trent lott,
ronald eritano,lloyd doggett,484411.69
bob brooks,jim mccrery,
bob brooks,jay dickey,
sam adcock,trent lott,
rodney whitlock,chuck grassley,
eli greenspan,martin heinrich,3825179.12
mac campbell,blanche lincoln,
nathaniel bell,robert andrews,0.0
david leiter,wendell ford,
david leiter,john kerry,
daniel wolf,jared huffman,401322.7
cindy brown,ron kind,
david urban,arlen specter,
sean mcglynn,barbara mikulski,0.0
greg louer,charles norwood,
sara linder,steve driehaus,
virginia h. johnson,dan benishek,
virginia h. johnson,hamilton fish,
stephen northrup,michael enzi,291600.0
stacey rampy,anna eshoo,661690.0
stacey rampy,robert torricelli,0.0
lindsay austin,lynn westmoreland,
tom tilton,betty sutton,
helen tolar,john boozman,196600.0
christopher baxter,robert menendez,1534118.62
michael woody,marion berry,
andrew hawkins,mike rogers,
kelly childress,john shimkus,1895393.95
robert bissen,robert kasten,
jamie jones,matthew martinez,
susan ramthun,william frist,
judithh gorsuch,jon kyl,
patrick cavanagh,tim holden,
alexander sternhell,craig james,0.0
mike ahern,edward royce,
mike ahern,bob corker,
kristin m. smith,denny rehberg,
kristin m. smith,olympia snowe,
kristin m. smith,conrad burns,
frank mccarthy,sue kelly,
jeffrey walter,alfonse d'amato,
jeffrey walter,connie mack,
ethan pittleman,kurt schrader,1612905.69
thomas culligan,frank wolf,
thomas culligan,thomas petri,
john czerwinski,frank wolf,
ludmilla savelieff,mike dewine,
jennifer ortega,todd rokita,
kathryn branson,lou barletta,1779747.58
david stratton edwards,john sullivan,
david stratton edwards,tom cole,1090096.0
william steve southerland,steve southerland,
jeff mortier,ed whitfield,
jeff mortier,devin nunes,1547946.06
sarah walter,john breaux,
kristen walsh,charles schumer,152500.0
kristen walsh,hillary clinton,0.0
kristen walsh,kirsten gillibrand,846868.22
don smith,tom bevill,
callie hickox,john breaux,
jamie tucker,anne northup,
sam olswanger,daniel webster,160727.07
b. keith heard,thad cochran,50475.0
jay heimbach,sherrod brown,2580379.5
matt leffingwell,jon porter,
scott leezer,richard durbin,389900.0
paul a. howard,susan collins,977840.0900000001
elizabeth lee,tammy baldwin,1889701.77
brian diffell,roy blunt,535525.0
charles cooper,adam putnam,
charles cooper,mario diaz-balart,1505912.97
charles cooper,felix grucci,
charles cooper,jon kyl,
charles cooper,connie mack,
nadeam elshami,nancy pelosi,1421399.3399999999
nadeam elshami,richard durbin,389900.0
nadeam elshami,janice schakowsky,446500.0
brian dean,craig james,0.0
jason tai,william lipinski,
langston emerson,michael capuano,780686.65
langston emerson,carolyn kilpatrick,
roger gwinn,vic fazio,
stephanie missert,kirsten gillibrand,846868.22
andrew lewin,dennis moore,
andrew lewin,max sandlin,
brent del monte,tom bliley,
robb walton,michael enzi,291600.0
christopher matthiesen,suzanne kosmas,
christopher matthiesen,nick lampson,
erskine wells,roger wicker,2140962.09
erskine wells,steven palazzo,593600.0
julia d'hemecourt,steve scalise,140530.0
julia d'hemecourt,vance mcallister,0.0
allison trexler,ed whitfield,
jennifer castagna,arlen specter,
norma jane sabiston,mary landrieu,
norma jane sabiston,john breaux,
zach monroe,mary landrieu,
sheryl cohen,christopher dodd,0.0
matt mcalvanah,patty murray,373700.0
robert lehman,rob portman,806915.0
robert lehman,larry combest,
timothy martin,scott tipton,868345.99
theodore bornstein,les aspin,
edward krenik,dean gallo,
carolyn gluck,harry reid,0.0
aryana khalid,mark warner,1047250.0
brian gaston,richard armey,
brian gaston,john boehner,
brian gaston,roy blunt,535525.0
steven boms,gary ackerman,0.0
doyle bartlett,bill mccollum,
chris mccannell,paul kanjorski,
chris mccannell,steny hoyer,3016867.74
chris mccannell,michael mcmahon,
chris mccannell,joseph crowley,1750095.23
travis johnson,david vitter,0.0
travis johnson,john shadegg,
travis johnson,tom price,
greg mesack,wally herger,
bradford cheney,brad sherman,645299.0
bradford cheney,hillary clinton,0.0
a. bradford card,john sweeney,
shawna francis watley,j. kerrey,
joel johnson,howard metzenbaum,
andrew king,lindsey graham,867500.0
christina brown,bob casey,
christina brown,arlen specter,
edward cox,orrin hatch,1991166.0
neal martin,max cleland,
r. neal martin,max cleland,
allison nyholm,lisa murkowski,546382.0
will hollier,mike crapo,
keith nelson,pete domenici,
daniel mcfaul,jeff miller,
daniel mcfaul,matt gaetz,348450.0
sarah egge,j. kerrey,
joe onek,nancy pelosi,1421399.3399999999
irene bueno,edward roybal,
irene bueno,alan cranston,
gregory d. burns,darlene hooley,0.0
robert van heuvelen,kent conrad,
stephen ward,jeff bingaman,
dan elling,nancy johnson,
dan elling,jim ramstad,
joshua andrews,anna eshoo,661690.0
joshua andrews,barbara boxer,
jackson spivey,mark begich,
jennifer latourette,steven latourette,0.0
jennifer latourette,robert borski,
jennifer latourette,max baucus,0.0
matt henken,ed perlmutter,
matt henken,mark udall,
clint robinson,john linder,
hunter moorhead,thad cochran,50475.0
matt wise,mary fallin,
matt wise,conrad burns,
bravo matt,steve scalise,140530.0
bravo matt,eric cantor,
lindsey craig,dave weldon,
lindsey craig,mike pence,
michael torrey,nancy kassebaum,
michael torrey,sheila frahm,
barbara patterson,bill nelson,2505695.19
seam mcglynn,barbara mikulski,0.0
d. patrick robertson,john rockefeller,
ludmilla kasulke (nee savelieff),mike dewine,
eric rosen,anthony weiner,
katie wise,vern buchanan,
katie wise,mary fallin,
patrice willoughby,barbara lee,486317.06
don kent,ron johnson,
don kent,thomas ridge,
don kent,don nickles,
jeff choudhry,trent franks,93250.0
robert taylor,john thune,758487.0
robert taylor,don nickles,
scott graves,k. conaway,
scott graves,blake farenthold,
mike ference,eric cantor,
eric anthony,rosa delauro,670820.0
barry bennett,jean schmidt,
jesse appleton,jim talent,
jeff markey,doc hastings,
jeff markey,jack metcalf,
melissa gierach,charles boustany,0.0
melissa gierach,dennis ross,586331.15
melissa gierach,john sullivan,
melissa gierach,cliff stearns,
melissa gierach,dana rohrabacher,344189.07
todd metcalf,ron wyden,
todd metcalf,william jefferson,
sara franko,ted strickland,0.0
elizabeth greer,allen boyd,
richard murphy,kelly ayotte,0.0
wesley ryan welch,richard shelby,0.0
dora hughes,edward kennedy,
dora hughes,barack obama,0.0
jason rosenstock,tom lantos,
jason rosenstock,robert weygand,
andy keiser,mike rogers,
ado machida,dick cheney,
jeffery mortier,ed whitfield,
jeffery mortier,devin nunes,1547946.06
jeff mackinnon,joe barton,214844.39
matthew schlapp,todd tiahrt,
andrew barbour,bart stupak,
jack s. deuser,jim bunning,
trevor kolego,chris cannon,
trevor kolego,jon porter,
trevor kolego,john boehner,
summer mersinger,john thune,758487.0
eric love,melvin watt,
cliff roberti,randy neugebauer,0.0
allison f. kassir,paul mchale,
lisa mortier,sue myrick,
john herzog,lamar alexander,266700.0
ryan mulvenon,harry reid,0.0
ray cole,richard shelby,0.0
joshua raymond,christopher murphy,1380836.67
jeffrey stoltzfoos,rick santorum,
jeffrey stoltzfoos,jeb hensarling,472250.0
james sartucci,trent lott,
andrew mckechnie,norm coleman,
andrew mckechnie,jim ramstad,
lori denham,calvin dooley,
lori denham,darlene hooley,0.0
jason mckitrick,john kasich,
jenny rosenberg,russell feingold,
malloy mcdaniel,mitch mcconnell,1401469.1099999999
malloy mcdaniel,trent lott,
shimon stein,eric cantor,
shimon stein,john ashcroft,
